respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,republican_leaners,probe,congenial,response_probe,question,condition,correct
66,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,1.0,dt,mc,1
67,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,aca,mc,0
67,1.0,0.0,0.0,,1.0,0.0,closed,1.0,0.0,aca2,mc,0
67,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,gg,mc,0
67,1.0,0.0,0.0,,1.0,0.0,closed,0.0,1.0,dt,mc,1
68,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
68,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,0.0,aca2,mc,0
68,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,0
68,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,1.0,dt,mc,1
69,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,aca,mc,0
69,1.0,0.0,0.0,,1.0,0.0,closed,1.0,0.0,aca2,mc,0
69,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,gg,mc,0
69,1.0,0.0,0.0,,1.0,0.0,closed,0.0,0.0,dt,mc,0
71,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,1
71,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
71,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,1
71,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
72,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,aca,mc,0
72,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,0.0,aca2,mc,0
72,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,gg,mc,0
72,1.0,0.0,0.0,1.0,1.0,0.0,open,0.0,0.0,dt,mc,0
73,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
73,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
73,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,0
73,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
75,1.0,0.0,0.0,,1.0,0.0,open,1.0,,aca,mc,0
75,1.0,0.0,0.0,,1.0,0.0,open,1.0,0.0,aca2,mc,0
75,1.0,0.0,0.0,,1.0,0.0,open,1.0,,gg,mc,1
75,1.0,0.0,0.0,,1.0,0.0,open,0.0,1.0,dt,mc,1
77,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,aca,mc,0
77,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,0.0,aca2,mc,0
77,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,gg,mc,1
77,1.0,0.0,0.0,1.0,1.0,0.0,open,0.0,1.0,dt,mc,1
78,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
78,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
78,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,0
78,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
82,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
82,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,0.0,aca2,mc,0
82,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,0
82,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,0.0,dt,mc,0
83,0.0,1.0,0.0,0.0,0.0,1.0,open,0.0,,aca,mc,0
83,0.0,1.0,0.0,0.0,0.0,1.0,open,0.0,0.0,aca2,mc,0
83,0.0,1.0,0.0,0.0,0.0,1.0,open,0.0,,gg,mc,0
83,0.0,1.0,0.0,0.0,0.0,1.0,open,1.0,1.0,dt,mc,1
88,0.0,1.0,0.0,0.0,0.0,1.0,open,0.0,,aca,mc,0
88,0.0,1.0,0.0,0.0,0.0,1.0,open,0.0,0.0,aca2,mc,0
88,0.0,1.0,0.0,0.0,0.0,1.0,open,0.0,,gg,mc,0
88,0.0,1.0,0.0,0.0,0.0,1.0,open,1.0,1.0,dt,mc,1
89,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,1
89,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,1.0,aca2,mc,1
89,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,1
89,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,0.0,dt,mc,0
90,0.0,0.0,1.0,,,,closed,,,aca,mc,1
90,0.0,0.0,1.0,,,,closed,,1.0,aca2,mc,1
90,0.0,0.0,1.0,,,,closed,,,gg,mc,0
90,0.0,0.0,1.0,,,,closed,,0.0,dt,mc,0
91,0.0,0.0,1.0,,,,open,,,aca,mc,0
91,0.0,0.0,1.0,,,,open,,0.0,aca2,mc,0
91,0.0,0.0,1.0,,,,open,,,gg,mc,1
91,0.0,0.0,1.0,,,,open,,0.0,dt,mc,0
94,0.0,0.0,1.0,,,,closed,,,aca,mc,1
94,0.0,0.0,1.0,,,,closed,,1.0,aca2,mc,1
94,0.0,0.0,1.0,,,,closed,,,gg,mc,1
94,0.0,0.0,1.0,,,,closed,,1.0,dt,mc,1
99,0.0,0.0,1.0,,,,closed,,,aca,mc,1
99,0.0,0.0,1.0,,,,closed,,1.0,aca2,mc,1
99,0.0,0.0,1.0,,,,closed,,,gg,mc,0
99,0.0,0.0,1.0,,,,closed,,1.0,dt,mc,1
101,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,1
101,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,1.0,aca2,mc,1
101,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,1
101,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
104,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
104,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,0.0,aca2,mc,0
104,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,0
104,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,0.0,dt,mc,0
106,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
106,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,0.0,aca2,mc,0
106,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,0
106,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,1.0,dt,mc,1
107,0.0,0.0,1.0,,,,closed,,,aca,mc,0
107,0.0,0.0,1.0,,,,closed,,0.0,aca2,mc,0
107,0.0,0.0,1.0,,,,closed,,,gg,mc,0
107,0.0,0.0,1.0,,,,closed,,0.0,dt,mc,0
108,0.0,0.0,1.0,,,,open,,,aca,mc,0
108,0.0,0.0,1.0,,,,open,,0.0,aca2,mc,0
108,0.0,0.0,1.0,,,,open,,,gg,mc,0
108,0.0,0.0,1.0,,,,open,,0.0,dt,mc,0
109,0.0,0.0,1.0,,,,open,,,aca,mc,0
109,0.0,0.0,1.0,,,,open,,0.0,aca2,mc,0
109,0.0,0.0,1.0,,,,open,,,gg,mc,0
109,0.0,0.0,1.0,,,,open,,0.0,dt,mc,0
