respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,republican_leaners,probe,questions,responses,congenial,response_probe
82,0,1,0,0,0,1,closed,dt_correct,0,1,0
83,0,1,0,0,0,1,open,aca_correct,0,0,NA
83,0,1,0,0,0,1,open,aca2_correct,0,0,0
83,0,1,0,0,0,1,open,gg_correct,0,0,NA
83,0,1,0,0,0,1,open,dt_correct,1,1,1
88,0,1,0,0,0,1,open,aca_correct,0,0,NA
88,0,1,0,0,0,1,open,aca2_correct,0,0,0
88,0,1,0,0,0,1,open,gg_correct,0,0,NA
88,0,1,0,0,0,1,open,dt_correct,1,1,1
89,0,1,0,0,0,1,closed,aca_correct,1,0,NA
89,0,1,0,0,0,1,closed,aca2_correct,1,0,1
89,0,1,0,0,0,1,closed,gg_correct,1,0,NA
89,0,1,0,0,0,1,closed,dt_correct,0,1,0
90,0,0,1,NA,NA,NA,closed,aca_correct,1,NA,NA
90,0,0,1,NA,NA,NA,closed,aca2_correct,1,NA,1
90,0,0,1,NA,NA,NA,closed,gg_correct,0,NA,NA
90,0,0,1,NA,NA,NA,closed,dt_correct,0,NA,0
91,0,0,1,NA,NA,NA,open,aca_correct,0,NA,NA
91,0,0,1,NA,NA,NA,open,aca2_correct,0,NA,0
91,0,0,1,NA,NA,NA,open,gg_correct,1,NA,NA
91,0,0,1,NA,NA,NA,open,dt_correct,0,NA,0
94,0,0,1,NA,NA,NA,closed,aca_correct,1,NA,NA
94,0,0,1,NA,NA,NA,closed,aca2_correct,1,NA,1
94,0,0,1,NA,NA,NA,closed,gg_correct,1,NA,NA
94,0,0,1,NA,NA,NA,closed,dt_correct,1,NA,1
99,0,0,1,NA,NA,NA,closed,aca_correct,1,NA,NA
99,0,0,1,NA,NA,NA,closed,aca2_correct,1,NA,1
99,0,0,1,NA,NA,NA,closed,gg_correct,0,NA,NA
99,0,0,1,NA,NA,NA,closed,dt_correct,1,NA,1
101,1,0,0,1,1,0,closed,aca_correct,1,1,NA
101,1,0,0,1,1,0,closed,aca2_correct,1,1,1
101,1,0,0,1,1,0,closed,gg_correct,1,1,NA
101,1,0,0,1,1,0,closed,dt_correct,1,0,1
